month,us_prod
2000-05-15,181242
2000-06-15,174686
2000-07-15,177920
2000-08-15,179451
2000-09-15,172731
2000-10-15,180080
2000-11-15,174980
2000-12-15,181508
2001-01-15,179767
2001-02-15,161843
2001-03-15,182290
2001-04-15,175879
2001-05-15,180712
2001-06-15,172974
2001-07-15,178208
2001-08-15,177488
2001-09-15,171270
2001-10-15,178129
2001-11-15,176441
2001-12-15,182511
2002-01-15,182076
2002-02-15,164666
2002-03-15,182460
2002-04-15,175333
2002-05-15,183057
2002-06-15,176532
2002-07-15,178275
2002-08-15,179670
2002-09-15,162336
2002-10-15,166105
2002-11-15,168706
2002-12-15,177372
2003-01-15,178412
2003-02-15,161920
2003-03-15,179907
2003-04-15,171774
2003-05-15,175568
2003-06-15,169772
2003-07-15,170452
2003-08-15,172787
2003-09-15,168270
2003-10-15,174020
2003-11-15,166397
2003-12-15,172715
2004-01-15,173132
2004-02-15,161583
2004-03-15,174115
2004-04-15,166810
2004-05-15,172235
2004-06-15,162208
2004-07-15,170011
2004-08-15,165072
2004-09-15,152444
2004-10-15,160270
2004-11-15,162699
2004-12-15,170815
2005-01-15,168831
2005-02-15,154038
2005-03-15,173626
2005-04-15,166885
2005-05-15,173491
2005-06-15,163263
2005-07-15,162854
2005-08-15,161153
2005-09-15,126417
2005-10-15,141200
2005-11-15,145708
2005-12-15,154630
2006-01-15,156480
2006-02-15,140894
2006-03-15,155842
2006-04-15,152450
2006-05-15,159667
2006-06-15,154884
2006-07-15,157919
2006-08-15,156232
2006-09-15,150926
2006-10-15,158353
2006-11-15,151926
2006-12-15,160768
2007-01-15,158342
2007-02-15,143301
2007-03-15,158697
2007-04-15,155407
2007-05-15,161548
2007-06-15,152254
2007-07-15,156175
2007-08-15,154060
2007-09-15,147061
2007-10-15,155680
2007-11-15,151021
2007-12-15,158427
2008-01-15,158566
2008-02-15,149297
2008-03-15,160868
2008-04-15,155403
2008-05-15,159437
2008-06-15,154133
2008-07-15,160481
2008-08-15,155092
2008-09-15,119208
2008-10-15,146868
2008-11-15,152343
2008-12-15,158183
2009-01-15,159467
2009-02-15,146698
2009-03-15,161776
2009-04-15,158344
2009-05-15,166684
2009-06-15,158079
2009-07-15,167336
2009-08-15,167945
2009-09-15,166765
2009-10-15,171258
2009-11-15,161838
2009-12-15,169004
2010-01-15,167529
2010-02-15,155496
2010-03-15,170976
2010-04-15,161769
2010-05-15,167427
2010-06-15,161385
2010-07-15,164234
2010-08-15,168867
2010-09-15,168473
2010-10-15,174547
2010-11-15,167272
2010-12-15,173831
2011-01-15,170393
2011-02-15,151354
2011-03-15,174158
2011-04-15,166858
2011-05-15,174363
2011-06-15,167673
2011-07-15,168635
2011-08-15,175618
2011-09-15,168411
2011-10-15,182977
2011-11-15,181157
2011-12-15,189487
2012-01-15,191439
2012-02-15,181759
2012-03-15,196116
2012-04-15,189590
2012-05-15,197441
2012-06-15,188255
2012-07-15,199361
2012-08-15,196854
2012-09-15,197923
2012-10-15,216041
2012-11-15,212424
2012-12-15,220259
2013-01-15,219590
2013-02-15,200376
2013-03-15,223674
2013-04-15,221261
2013-05-15,227152
2013-06-15,218381
2013-07-15,233238
2013-08-15,233609
2013-09-15,235183
2013-10-15,240594
2013-11-15,237602
2013-12-15,245947
2014-01-15,250425
2014-02-15,228401
2014-03-15,257220
2014-04-15,255795
2014-05-15,267996
2014-06-15,262288
2014-07-15,274131
2014-08-15,276813
2014-09-15,272571
2014-10-15,287193
2014-11-15,279793
2014-12-15,296480
2015-01-15,290856
2015-02-15,266115
2015-03-15,297040
2015-04-15,289735
2015-05-15,293683
2015-06-15,280747
2015-07-15,292813
2015-08-15,291691
2015-09-15,284398
2015-10-15,291410
2015-11-15,279975
2015-12-15,287528
2016-01-15,285245
2016-02-15,262841
2016-03-15,281716
2016-04-15,266122
2016-05-15,273781
2016-06-15,260163
2016-07-15,268470
2016-08-15,269331
2016-09-15,256249
2016-10-15,272860
2016-11-15,267035
2016-12-15,273244
2017-01-15,275058
2017-02-15,255059
2017-03-15,284208
2017-04-15,273090
2017-05-15,284718
2017-06-15,273309
2017-07-15,286635
2017-08-15,286596
2017-09-15,285487
2017-10-15,299429
2017-11-15,302310
2017-12-15,309359
2018-01-15,309881
2018-02-15,287727
2018-03-15,324296
2018-04-15,314803
2018-05-15,323159
2018-06-15,318837
2018-07-15,337540
2018-08-15,352575
2018-09-15,342660
2018-10-15,356138
2018-11-15,356028
2018-12-15,369644
2019-01-15,367286
2019-02-15,326272
2019-03-15,368867
2019-04-15,363737
2019-05-15,376362
2019-06-15,365366
2019-07-15,368765
2019-08-15,386725
2019-09-15,377169
2019-10-15,395900
