,period,area-name,series-description,value,units
1442,2011-01-01,USA-UT,Utah Field Production of Crude Oil (Thousand Barrels per Day),67,MBBL/D
1446,2011-01-01,USA-WV,West Virginia Field Production of Crude Oil (Thousand Barrels per Day),5,MBBL/D
1450,2011-01-01,USA-IL,Illinois Field Production of Crude Oil (Thousand Barrels per Day),23,MBBL/D
1452,2011-01-01,USA-AR,Arkansas Field Production of Crude Oil (Thousand Barrels per Day),16,MBBL/D
1453,2011-01-01,USA-MT,Montana Field Production of Crude Oil (Thousand Barrels per Day),66,MBBL/D
1459,2011-01-01,USA-AK,Alaska North Slope Crude Oil Production (Thousand Barrels per Day),459,MBBL/D
1464,2011-01-01,USA-IN,Indiana Field Production of Crude Oil (Thousand Barrels per Day),5,MBBL/D
1477,2011-01-01,USA-ID,Idaho Field Production of Crude Oil (Thousand Barrels per Day),0,MBBL/D
1478,2011-01-01,USA-SD,South Dakota Field Production of Crude Oil (Thousand Barrels per Day),4,MBBL/D
1485,2011-01-01,NA,Federal Offshore PADD 5 Field Production of Crude Oil (Thousand Barrels per Day),53,MBBL/D
1497,2011-01-01,FLORIDA,Florida Field Production of Crude Oil (Thousand Barrels per Day),6,MBBL/D
1498,2011-01-01,USA-MO,Missouri Field Production of Crude Oil (Thousand Barrels per Day),0,MBBL/D
1508,2011-01-01,PADD 1,East Coast (PADD 1) Field Production of Crude Oil (Thousand Barrels per Day),21,MBBL/D
1528,2010-12-01,USA-NM,New Mexico Field Production of Crude Oil (Thousand Barrels per Day),188,MBBL/D
1531,2010-12-01,USA-AK,Alaska North Slope Crude Oil Production (Thousand Barrels per Day),602,MBBL/D
1537,2010-12-01,USA-TN,Tennessee Field Production of Crude Oil (Thousand Barrels per Day),1,MBBL/D
1554,2010-12-01,USA-MI,Michigan Field Production of Crude Oil (Thousand Barrels per Day),20,MBBL/D
1565,2010-12-01,NA,Alaska South Field Production of Crude Oil (Thousand Barrels per Day),10,MBBL/D
1582,2010-12-01,USA-NV,Nevada Field Production of Crude Oil (Thousand Barrels per Day),1,MBBL/D
1593,2010-12-01,USA-AL,Alabama Field Production of Crude Oil (Thousand Barrels per Day),21,MBBL/D
1598,2010-11-01,USA-NE,Nebraska Field Production of Crude Oil (Thousand Barrels per Day),7,MBBL/D
1603,2010-11-01,FLORIDA,Florida Field Production of Crude Oil (Thousand Barrels per Day),5,MBBL/D
1605,2010-11-01,USA-AR,Arkansas Field Production of Crude Oil (Thousand Barrels per Day),16,MBBL/D
1606,2010-11-01,USA-MT,Montana Field Production of Crude Oil (Thousand Barrels per Day),70,MBBL/D
1632,2010-11-01,PADD 2,Midwest (PADD 2) Field Production of Crude Oil (Thousand Barrels per Day),754,MBBL/D
1639,2010-11-01,USA-UT,Utah Field Production of Crude Oil (Thousand Barrels per Day),71,MBBL/D
1659,2010-11-01,USA-VA,Virginia Field Production of Crude Oil (Thousand Barrels per Day),0,MBBL/D
1671,2010-11-01,OHIO,Ohio Field Production of Crude Oil (Thousand Barrels per Day),13,MBBL/D
1697,2010-10-01,USA-AR,Arkansas Field Production of Crude Oil (Thousand Barrels per Day),16,MBBL/D
1700,2010-10-01,USA-LA,Louisiana Field Production of Crude Oil (Thousand Barrels per Day),189,MBBL/D
1703,2010-10-01,USA-SD,South Dakota Field Production of Crude Oil (Thousand Barrels per Day),5,MBBL/D
1711,2010-10-01,USA-KS,Kansas Field Production of Crude Oil (Thousand Barrels per Day),110,MBBL/D
1713,2010-10-01,PADD 5,West Coast (PADD 5) Field Production of Crude Oil (Thousand Barrels per Day),1216,MBBL/D
1724,2010-10-01,PADD 3,Gulf Coast (PADD 3) Field Production of Crude Oil (Thousand Barrels per Day),3257,MBBL/D
1746,2010-10-01,NA,Federal Offshore PADD 5 Field Production of Crude Oil (Thousand Barrels per Day),57,MBBL/D
1758,2010-10-01,USA-NE,Nebraska Field Production of Crude Oil (Thousand Barrels per Day),7,MBBL/D
1763,2010-10-01,NEW YORK,New York Field Production of Crude Oil (Thousand Barrels per Day),1,MBBL/D
1773,2010-09-01,USA-MO,Missouri Field Production of Crude Oil (Thousand Barrels per Day),0,MBBL/D
1779,2010-09-01,USA-MT,Montana Field Production of Crude Oil (Thousand Barrels per Day),71,MBBL/D
1799,2010-09-01,PADD 3,Gulf Coast (PADD 3) Field Production of Crude Oil (Thousand Barrels per Day),3248,MBBL/D
1802,2010-09-01,USA-ID,Idaho Field Production of Crude Oil (Thousand Barrels per Day),0,MBBL/D
1803,2010-09-01,USA-MI,Michigan Field Production of Crude Oil (Thousand Barrels per Day),20,MBBL/D
1809,2010-09-01,USA-MS,Mississippi Field Production of Crude Oil (Thousand Barrels per Day),66,MBBL/D
1815,2010-09-01,NA,Federal Offshore PADD 5 Field Production of Crude Oil (Thousand Barrels per Day),58,MBBL/D
1816,2010-09-01,USA-AR,Arkansas Field Production of Crude Oil (Thousand Barrels per Day),16,MBBL/D
1839,2010-09-01,PADD 1,East Coast (PADD 1) Field Production of Crude Oil (Thousand Barrels per Day),21,MBBL/D
1844,2010-09-01,PADD 5,West Coast (PADD 5) Field Production of Crude Oil (Thousand Barrels per Day),1227,MBBL/D
1848,2010-08-01,USA-ID,Idaho Field Production of Crude Oil (Thousand Barrels per Day),0,MBBL/D
1858,2010-08-01,USA-NV,Nevada Field Production of Crude Oil (Thousand Barrels per Day),1,MBBL/D
1859,2010-08-01,USA-MI,Michigan Field Production of Crude Oil (Thousand Barrels per Day),19,MBBL/D
1864,2010-08-01,USA-ND,North Dakota Field Production of Crude Oil (Thousand Barrels per Day),328,MBBL/D
1865,2010-08-01,USA-AZ,Arizona Field Production of Crude Oil (Thousand Barrels per Day),0,MBBL/D
1879,2010-08-01,USA-IL,Illinois Field Production of Crude Oil (Thousand Barrels per Day),24,MBBL/D
1880,2010-08-01,USA-IN,Indiana Field Production of Crude Oil (Thousand Barrels per Day),5,MBBL/D
1884,2010-08-01,USA-MS,Mississippi Field Production of Crude Oil (Thousand Barrels per Day),65,MBBL/D
1888,2010-08-01,USA-AL,Alabama Field Production of Crude Oil (Thousand Barrels per Day),20,MBBL/D
1892,2010-08-01,COLORADO,Colorado Field Production of Crude Oil (Thousand Barrels per Day),93,MBBL/D
1906,2010-08-01,USA-AK,Alaska Field Production of Crude Oil (Thousand Barrels per Day),538,MBBL/D
1914,2010-08-01,USA-SD,South Dakota Field Production of Crude Oil (Thousand Barrels per Day),5,MBBL/D
1929,2010-08-01,USA-WV,West Virginia Field Production of Crude Oil (Thousand Barrels per Day),5,MBBL/D
1935,2010-07-01,PADD 4,Rocky Mountain (PADD 4) Field Production of Crude Oil (Thousand Barrels per Day),367,MBBL/D
1937,2010-07-01,USA-AL,Alabama Field Production of Crude Oil (Thousand Barrels per Day),20,MBBL/D
1939,2010-07-01,PADD 3,Gulf Coast (PADD 3) Field Production of Crude Oil (Thousand Barrels per Day),3053,MBBL/D
1946,2010-07-01,USA-MS,Mississippi Field Production of Crude Oil (Thousand Barrels per Day),65,MBBL/D
1949,2010-07-01,NA,Florida Field Production of Crude Oil (Thousand Barrels per Day),5,MBBL/D
1959,2010-07-01,NA,Federal Offshore--Gulf of Mexico Field Production of Crude Oil (Thousand Barrels per Day),1434,MBBL/D
1971,2010-07-01,NA,Federal Offshore PADD 5 Field Production of Crude Oil (Thousand Barrels per Day),59,MBBL/D
1975,2010-07-01,USA-TN,Tennessee Field Production of Crude Oil (Thousand Barrels per Day),1,MBBL/D
1989,2010-07-01,USA-AR,Arkansas Field Production of Crude Oil (Thousand Barrels per Day),15,MBBL/D
1990,2010-07-01,USA-NV,Nevada Field Production of Crude Oil (Thousand Barrels per Day),1,MBBL/D
1993,2010-07-01,USA-VA,Virginia Field Production of Crude Oil (Thousand Barrels per Day),0,MBBL/D
1995,2010-07-01,USA-AK,Alaska Field Production of Crude Oil (Thousand Barrels per Day),545,MBBL/D
2015,2010-07-01,USA-IN,Indiana Field Production of Crude Oil (Thousand Barrels per Day),5,MBBL/D
2020,2010-06-01,NA,Federal Offshore--Gulf of Mexico Field Production of Crude Oil (Thousand Barrels per Day),1543,MBBL/D
2024,2010-06-01,COLORADO,Colorado Field Production of Crude Oil (Thousand Barrels per Day),86,MBBL/D
2029,2010-06-01,USA-LA,Louisiana Field Production of Crude Oil (Thousand Barrels per Day),187,MBBL/D
2034,2010-06-01,PADD 5,West Coast (PADD 5) Field Production of Crude Oil (Thousand Barrels per Day),1148,MBBL/D
2039,2010-06-01,USA-UT,Utah Field Production of Crude Oil (Thousand Barrels per Day),68,MBBL/D
2042,2010-06-01,PADD 4,Rocky Mountain (PADD 4) Field Production of Crude Oil (Thousand Barrels per Day),369,MBBL/D
2050,2010-06-01,USA-ID,Idaho Field Production of Crude Oil (Thousand Barrels per Day),0,MBBL/D
2052,2010-06-01,USA-SD,South Dakota Field Production of Crude Oil (Thousand Barrels per Day),4,MBBL/D
2069,2010-06-01,CALIFORNIA,California Field Production of Crude Oil (Thousand Barrels per Day),551,MBBL/D
2073,2010-06-01,OHIO,Ohio Field Production of Crude Oil (Thousand Barrels per Day),13,MBBL/D
2096,2010-06-01,USA-ND,North Dakota Field Production of Crude Oil (Thousand Barrels per Day),313,MBBL/D
2097,2010-06-01,USA-KS,Kansas Field Production of Crude Oil (Thousand Barrels per Day),115,MBBL/D
2098,2010-06-01,PADD 3,Gulf Coast (PADD 3) Field Production of Crude Oil (Thousand Barrels per Day),3144,MBBL/D
2106,2010-05-01,USA-AK,Alaska Field Production of Crude Oil (Thousand Barrels per Day),571,MBBL/D
2116,2010-05-01,CALIFORNIA,California Field Production of Crude Oil (Thousand Barrels per Day),554,MBBL/D
2121,2010-05-01,PADD 4,Rocky Mountain (PADD 4) Field Production of Crude Oil (Thousand Barrels per Day),372,MBBL/D
2128,2010-05-01,USA-ID,Idaho Field Production of Crude Oil (Thousand Barrels per Day),0,MBBL/D
2138,2010-05-01,PADD 2,Midwest (PADD 2) Field Production of Crude Oil (Thousand Barrels per Day),675,MBBL/D
2141,2010-05-01,FLORIDA,Florida Field Production of Crude Oil (Thousand Barrels per Day),5,MBBL/D
2147,2010-05-01,USA-OK,Oklahoma Field Production of Crude Oil (Thousand Barrels per Day),187,MBBL/D
2149,2010-05-01,USA-NE,Nebraska Field Production of Crude Oil (Thousand Barrels per Day),6,MBBL/D
2156,2010-05-01,USA-WY,Wyoming Field Production of Crude Oil (Thousand Barrels per Day),147,MBBL/D
2163,2010-05-01,USA-SD,South Dakota Field Production of Crude Oil (Thousand Barrels per Day),4,MBBL/D
2164,2010-05-01,USA-MS,Mississippi Field Production of Crude Oil (Thousand Barrels per Day),65,MBBL/D
2165,2010-05-01,NA,Florida Field Production of Crude Oil (Thousand Barrels per Day),5,MBBL/D
2172,2010-05-01,USA-MT,Montana Field Production of Crude Oil (Thousand Barrels per Day),69,MBBL/D
2178,2010-05-01,USA-KY,Kentucky Field Production of Crude Oil (Thousand Barrels per Day),10,MBBL/D
2182,2010-05-01,USA-AZ,Arizona Field Production of Crude Oil (Thousand Barrels per Day),0,MBBL/D
2183,2010-05-01,USA-IN,Indiana Field Production of Crude Oil (Thousand Barrels per Day),5,MBBL/D
2185,2010-04-01,USA-NV,Nevada Field Production of Crude Oil (Thousand Barrels per Day),1,MBBL/D
2186,2010-04-01,USA-MI,Michigan Field Production of Crude Oil (Thousand Barrels per Day),18,MBBL/D
2190,2010-04-01,NEW YORK,New York Field Production of Crude Oil (Thousand Barrels per Day),1,MBBL/D
2197,2010-04-01,USA-WV,West Virginia Field Production of Crude Oil (Thousand Barrels per Day),5,MBBL/D
2222,2010-04-01,USA-WY,Wyoming Field Production of Crude Oil (Thousand Barrels per Day),146,MBBL/D
2223,2010-04-01,USA-KY,Kentucky Field Production of Crude Oil (Thousand Barrels per Day),6,MBBL/D
2240,2010-04-01,USA-AL,Alabama Field Production of Crude Oil (Thousand Barrels per Day),18,MBBL/D
2242,2010-04-01,USA-MO,Missouri Field Production of Crude Oil (Thousand Barrels per Day),1,MBBL/D
2245,2010-04-01,NA,Federal Offshore--Gulf of Mexico Field Production of Crude Oil (Thousand Barrels per Day),1481,MBBL/D
2247,2010-04-01,USA-UT,Utah Field Production of Crude Oil (Thousand Barrels per Day),66,MBBL/D
2259,2010-04-01,NA,Alaska South Field Production of Crude Oil (Thousand Barrels per Day),11,MBBL/D
2266,2010-04-01,NA,Federal Offshore PADD 5 Field Production of Crude Oil (Thousand Barrels per Day),62,MBBL/D
2275,2010-03-01,PADD 3,Gulf Coast (PADD 3) Field Production of Crude Oil (Thousand Barrels per Day),3202,MBBL/D
2279,2010-03-01,OHIO,Ohio Field Production of Crude Oil (Thousand Barrels per Day),13,MBBL/D
2284,2010-03-01,NA,Federal Offshore--Gulf of Mexico Field Production of Crude Oil (Thousand Barrels per Day),1600,MBBL/D
2287,2010-03-01,USA-LA,Louisiana Field Production of Crude Oil (Thousand Barrels per Day),185,MBBL/D
2288,2010-03-01,COLORADO,Colorado Field Production of Crude Oil (Thousand Barrels per Day),88,MBBL/D
2289,2010-03-01,USA-KY,Kentucky Field Production of Crude Oil (Thousand Barrels per Day),5,MBBL/D
2312,2010-03-01,USA-TN,Tennessee Field Production of Crude Oil (Thousand Barrels per Day),1,MBBL/D
2319,2010-03-01,USA-ND,North Dakota Field Production of Crude Oil (Thousand Barrels per Day),276,MBBL/D
2339,2010-03-01,USA-VA,Virginia Field Production of Crude Oil (Thousand Barrels per Day),0,MBBL/D
2346,2010-03-01,USA-NV,Nevada Field Production of Crude Oil (Thousand Barrels per Day),1,MBBL/D
2349,2010-03-01,USA-PA,Pennsylvania Field Production of Crude Oil (Thousand Barrels per Day),9,MBBL/D
2352,2010-02-01,USA-ID,Idaho Field Production of Crude Oil (Thousand Barrels per Day),0,MBBL/D
2355,2010-02-01,USA-LA,Louisiana Field Production of Crude Oil (Thousand Barrels per Day),182,MBBL/D
2363,2010-02-01,USA-AK,Alaska North Slope Crude Oil Production (Thousand Barrels per Day),625,MBBL/D
2366,2010-02-01,USA-NM,New Mexico Field Production of Crude Oil (Thousand Barrels per Day),179,MBBL/D
2377,2010-02-01,USA-AL,Alabama Field Production of Crude Oil (Thousand Barrels per Day),18,MBBL/D
2384,2010-02-01,OHIO,Ohio Field Production of Crude Oil (Thousand Barrels per Day),13,MBBL/D
2385,2010-02-01,USA-MI,Michigan Field Production of Crude Oil (Thousand Barrels per Day),20,MBBL/D
2387,2010-02-01,USA-NE,Nebraska Field Production of Crude Oil (Thousand Barrels per Day),6,MBBL/D
2389,2010-02-01,USA-AK,Alaska Field Production of Crude Oil (Thousand Barrels per Day),635,MBBL/D
2407,2010-02-01,USA-OK,Oklahoma Field Production of Crude Oil (Thousand Barrels per Day),187,MBBL/D
2412,2010-02-01,NEW YORK,New York Field Production of Crude Oil (Thousand Barrels per Day),1,MBBL/D
2417,2010-02-01,USA-UT,Utah Field Production of Crude Oil (Thousand Barrels per Day),61,MBBL/D
2420,2010-02-01,USA-VA,Virginia Field Production of Crude Oil (Thousand Barrels per Day),0,MBBL/D
2447,2010-01-01,NA,Federal Offshore PADD 5 Field Production of Crude Oil (Thousand Barrels per Day),61,MBBL/D
2458,2010-01-01,USA-MI,Michigan Field Production of Crude Oil (Thousand Barrels per Day),20,MBBL/D
2463,2010-01-01,NA,Alaska South Field Production of Crude Oil (Thousand Barrels per Day),10,MBBL/D
2465,2010-01-01,PADD 2,Midwest (PADD 2) Field Production of Crude Oil (Thousand Barrels per Day),586,MBBL/D
2466,2010-01-01,NEW YORK,New York Field Production of Crude Oil (Thousand Barrels per Day),1,MBBL/D
2468,2010-01-01,USA-MO,Missouri Field Production of Crude Oil (Thousand Barrels per Day),0,MBBL/D
2472,2010-01-01,USA-KY,Kentucky Field Production of Crude Oil (Thousand Barrels per Day),11,MBBL/D
2475,2010-01-01,FLORIDA,Florida Field Production of Crude Oil (Thousand Barrels per Day),3,MBBL/D
2505,2010-01-01,TEXAS,Texas Field Production of Crude Oil (Thousand Barrels per Day),1099,MBBL/D
2519,2010-01-01,NA,Federal Offshore--Gulf of Mexico Field Production of Crude Oil (Thousand Barrels per Day),1655,MBBL/D
2524,2009-12-01,PADD 2,Midwest (PADD 2) Field Production of Crude Oil (Thousand Barrels per Day),598,MBBL/D
2532,2009-12-01,USA-KY,Kentucky Field Production of Crude Oil (Thousand Barrels per Day),7,MBBL/D
2540,2009-12-01,USA-AK,Alaska North Slope Crude Oil Production (Thousand Barrels per Day),645,MBBL/D
2556,2009-12-01,USA-WV,West Virginia Field Production of Crude Oil (Thousand Barrels per Day),5,MBBL/D
2578,2009-12-01,USA-IL,Illinois Field Production of Crude Oil (Thousand Barrels per Day),25,MBBL/D
2580,2009-12-01,OHIO,Ohio Field Production of Crude Oil (Thousand Barrels per Day),13,MBBL/D
2581,2009-12-01,TEXAS,Texas Field Production of Crude Oil (Thousand Barrels per Day),1091,MBBL/D
2583,2009-12-01,USA-VA,Virginia Field Production of Crude Oil (Thousand Barrels per Day),0,MBBL/D
2596,2009-12-01,USA-ND,North Dakota Field Production of Crude Oil (Thousand Barrels per Day),242,MBBL/D
2609,2009-11-01,USA-MS,Mississippi Field Production of Crude Oil (Thousand Barrels per Day),66,MBBL/D
2619,2009-11-01,USA-LA,Louisiana Field Production of Crude Oil (Thousand Barrels per Day),181,MBBL/D
2621,2009-11-01,USA-VA,Virginia Field Production of Crude Oil (Thousand Barrels per Day),0,MBBL/D
2625,2009-11-01,USA-MO,Missouri Field Production of Crude Oil (Thousand Barrels per Day),0,MBBL/D
2627,2009-11-01,NA,Federal Offshore PADD 5 Field Production of Crude Oil (Thousand Barrels per Day),62,MBBL/D
2629,2009-11-01,USA-NV,Nevada Field Production of Crude Oil (Thousand Barrels per Day),1,MBBL/D
2633,2009-11-01,USA-PA,Pennsylvania Field Production of Crude Oil (Thousand Barrels per Day),8,MBBL/D
2634,2009-11-01,PADD 2,Midwest (PADD 2) Field Production of Crude Oil (Thousand Barrels per Day),615,MBBL/D
2648,2009-11-01,COLORADO,Colorado Field Production of Crude Oil (Thousand Barrels per Day),85,MBBL/D
2660,2009-11-01,OHIO,Ohio Field Production of Crude Oil (Thousand Barrels per Day),13,MBBL/D
2669,2009-11-01,USA-OK,Oklahoma Field Production of Crude Oil (Thousand Barrels per Day),183,MBBL/D
2672,2009-11-01,NA,Alaska South Field Production of Crude Oil (Thousand Barrels per Day),9,MBBL/D
2677,2009-11-01,PADD 3,Gulf Coast (PADD 3) Field Production of Crude Oil (Thousand Barrels per Day),3119,MBBL/D
2686,2009-11-01,FLORIDA,Florida Field Production of Crude Oil (Thousand Barrels per Day),2,MBBL/D
2687,2009-11-01,USA-NM,New Mexico Field Production of Crude Oil (Thousand Barrels per Day),173,MBBL/D
2688,2009-10-01,PADD 5,West Coast (PADD 5) Field Production of Crude Oil (Thousand Barrels per Day),1283,MBBL/D
2694,2009-10-01,USA-MS,Mississippi Field Production of Crude Oil (Thousand Barrels per Day),65,MBBL/D
2706,2009-10-01,USA-SD,South Dakota Field Production of Crude Oil (Thousand Barrels per Day),5,MBBL/D
2709,2009-10-01,USA-AZ,Arizona Field Production of Crude Oil (Thousand Barrels per Day),0,MBBL/D
2715,2009-10-01,USA-MT,Montana Field Production of Crude Oil (Thousand Barrels per Day),72,MBBL/D
2720,2009-10-01,USA-KS,Kansas Field Production of Crude Oil (Thousand Barrels per Day),105,MBBL/D
2722,2009-10-01,USA-VA,Virginia Field Production of Crude Oil (Thousand Barrels per Day),0,MBBL/D
2730,2009-10-01,CALIFORNIA,California Field Production of Crude Oil (Thousand Barrels per Day),560,MBBL/D
2737,2009-10-01,USA-AK,Alaska Field Production of Crude Oil (Thousand Barrels per Day),659,MBBL/D
2762,2009-10-01,NA,Florida Field Production of Crude Oil (Thousand Barrels per Day),2,MBBL/D
2773,2009-09-01,USA-OK,Oklahoma Field Production of Crude Oil (Thousand Barrels per Day),186,MBBL/D
2779,2009-09-01,USA-NE,Nebraska Field Production of Crude Oil (Thousand Barrels per Day),6,MBBL/D
2788,2009-09-01,USA-AL,Alabama Field Production of Crude Oil (Thousand Barrels per Day),19,MBBL/D
2793,2009-09-01,NA,Federal Offshore PADD 5 Field Production of Crude Oil (Thousand Barrels per Day),61,MBBL/D
2795,2009-09-01,OHIO,Ohio Field Production of Crude Oil (Thousand Barrels per Day),13,MBBL/D
2812,2009-09-01,USA-MI,Michigan Field Production of Crude Oil (Thousand Barrels per Day),17,MBBL/D
2822,2009-09-01,USA-UT,Utah Field Production of Crude Oil (Thousand Barrels per Day),61,MBBL/D
2835,2009-09-01,USA-ID,Idaho Field Production of Crude Oil (Thousand Barrels per Day),0,MBBL/D
2843,2009-09-01,PADD 3,Gulf Coast (PADD 3) Field Production of Crude Oil (Thousand Barrels per Day),3288,MBBL/D
2846,2009-09-01,USA-IL,Illinois Field Production of Crude Oil (Thousand Barrels per Day),26,MBBL/D
2847,2009-09-01,USA-IN,Indiana Field Production of Crude Oil (Thousand Barrels per Day),5,MBBL/D
2872,2009-08-01,USA-PA,Pennsylvania Field Production of Crude Oil (Thousand Barrels per Day),8,MBBL/D
2883,2009-08-01,USA-MI,Michigan Field Production of Crude Oil (Thousand Barrels per Day),16,MBBL/D
2884,2009-08-01,USA-LA,Louisiana Field Production of Crude Oil (Thousand Barrels per Day),187,MBBL/D
2888,2009-08-01,USA-AL,Alabama Field Production of Crude Oil (Thousand Barrels per Day),19,MBBL/D
2893,2009-08-01,NA,Federal Offshore--Gulf of Mexico Field Production of Crude Oil (Thousand Barrels per Day),1734,MBBL/D
2894,2009-08-01,USA-ID,Idaho Field Production of Crude Oil (Thousand Barrels per Day),0,MBBL/D
2897,2009-08-01,PADD 2,Midwest (PADD 2) Field Production of Crude Oil (Thousand Barrels per Day),596,MBBL/D
2910,2009-08-01,USA-ND,North Dakota Field Production of Crude Oil (Thousand Barrels per Day),232,MBBL/D
2927,2009-08-01,USA-KS,Kansas Field Production of Crude Oil (Thousand Barrels per Day),106,MBBL/D
2928,2009-08-01,NA,Federal Offshore PADD 5 Field Production of Crude Oil (Thousand Barrels per Day),63,MBBL/D
2943,2009-07-01,USA-KY,Kentucky Field Production of Crude Oil (Thousand Barrels per Day),10,MBBL/D
2952,2009-07-01,TEXAS,Texas Field Production of Crude Oil (Thousand Barrels per Day),1063,MBBL/D
2964,2009-07-01,USA-TN,Tennessee Field Production of Crude Oil (Thousand Barrels per Day),1,MBBL/D
2970,2009-07-01,PADD 3,Gulf Coast (PADD 3) Field Production of Crude Oil (Thousand Barrels per Day),3241,MBBL/D
2986,2009-07-01,USA-WV,West Virginia Field Production of Crude Oil (Thousand Barrels per Day),3,MBBL/D
2998,2009-07-01,USA-ND,North Dakota Field Production of Crude Oil (Thousand Barrels per Day),228,MBBL/D
3000,2009-07-01,USA-IL,Illinois Field Production of Crude Oil (Thousand Barrels per Day),25,MBBL/D
3001,2009-07-01,CALIFORNIA,California Field Production of Crude Oil (Thousand Barrels per Day),566,MBBL/D
3005,2009-07-01,USA-AR,Arkansas Field Production of Crude Oil (Thousand Barrels per Day),16,MBBL/D
3016,2009-07-01,USA-ID,Idaho Field Production of Crude Oil (Thousand Barrels per Day),0,MBBL/D
3024,2009-06-01,NA,Federal Offshore--Gulf of Mexico Field Production of Crude Oil (Thousand Barrels per Day),1561,MBBL/D
3026,2009-06-01,COLORADO,Colorado Field Production of Crude Oil (Thousand Barrels per Day),83,MBBL/D
3028,2009-06-01,USA-WV,West Virginia Field Production of Crude Oil (Thousand Barrels per Day),6,MBBL/D
3034,2009-06-01,OHIO,Ohio Field Production of Crude Oil (Thousand Barrels per Day),13,MBBL/D
3035,2009-06-01,USA-NV,Nevada Field Production of Crude Oil (Thousand Barrels per Day),1,MBBL/D
3037,2009-06-01,USA-MT,Montana Field Production of Crude Oil (Thousand Barrels per Day),77,MBBL/D
3039,2009-06-01,PADD 4,Rocky Mountain (PADD 4) Field Production of Crude Oil (Thousand Barrels per Day),367,MBBL/D
3049,2009-06-01,USA-UT,Utah Field Production of Crude Oil (Thousand Barrels per Day),64,MBBL/D
3050,2009-06-01,TEXAS,Texas Field Production of Crude Oil (Thousand Barrels per Day),1071,MBBL/D
3054,2009-06-01,PADD 1,East Coast (PADD 1) Field Production of Crude Oil (Thousand Barrels per Day),17,MBBL/D
3060,2009-06-01,USA-AK,Alaska North Slope Crude Oil Production (Thousand Barrels per Day),567,MBBL/D
3077,2009-06-01,USA-WY,Wyoming Field Production of Crude Oil (Thousand Barrels per Day),142,MBBL/D
3091,2009-06-01,NA,Alaska South Field Production of Crude Oil (Thousand Barrels per Day),4,MBBL/D
3117,2009-05-01,USA-NM,New Mexico Field Production of Crude Oil (Thousand Barrels per Day),167,MBBL/D
3134,2009-05-01,PADD 3,Gulf Coast (PADD 3) Field Production of Crude Oil (Thousand Barrels per Day),3099,MBBL/D
3139,2009-05-01,USA-MI,Michigan Field Production of Crude Oil (Thousand Barrels per Day),17,MBBL/D
3149,2009-05-01,USA-AK,Alaska North Slope Crude Oil Production (Thousand Barrels per Day),674,MBBL/D
3175,2009-05-01,USA-TN,Tennessee Field Production of Crude Oil (Thousand Barrels per Day),1,MBBL/D
3209,2009-04-01,USA-MS,Mississippi Field Production of Crude Oil (Thousand Barrels per Day),65,MBBL/D
3212,2009-04-01,USA-IL,Illinois Field Production of Crude Oil (Thousand Barrels per Day),25,MBBL/D
3223,2009-04-01,USA-OK,Oklahoma Field Production of Crude Oil (Thousand Barrels per Day),186,MBBL/D
3226,2009-04-01,COLORADO,Colorado Field Production of Crude Oil (Thousand Barrels per Day),82,MBBL/D
3250,2009-04-01,NA,Federal Offshore PADD 5 Field Production of Crude Oil (Thousand Barrels per Day),63,MBBL/D
3263,2009-04-01,USA-SD,South Dakota Field Production of Crude Oil (Thousand Barrels per Day),5,MBBL/D
3265,2009-04-01,USA-ID,Idaho Field Production of Crude Oil (Thousand Barrels per Day),0,MBBL/D
3266,2009-04-01,USA-MI,Michigan Field Production of Crude Oil (Thousand Barrels per Day),17,MBBL/D
3267,2009-04-01,USA-WY,Wyoming Field Production of Crude Oil (Thousand Barrels per Day),143,MBBL/D
3273,2009-04-01,USA-AR,Arkansas Field Production of Crude Oil (Thousand Barrels per Day),16,MBBL/D
3282,2009-03-01,USA-NE,Nebraska Field Production of Crude Oil (Thousand Barrels per Day),6,MBBL/D
3286,2009-03-01,NEW YORK,New York Field Production of Crude Oil (Thousand Barrels per Day),1,MBBL/D
3289,2009-03-01,USA-IL,Illinois Field Production of Crude Oil (Thousand Barrels per Day),27,MBBL/D
3294,2009-03-01,USA-KY,Kentucky Field Production of Crude Oil (Thousand Barrels per Day),5,MBBL/D
3316,2009-03-01,USA-UT,Utah Field Production of Crude Oil (Thousand Barrels per Day),65,MBBL/D
3317,2009-03-01,USA-LA,Louisiana Field Production of Crude Oil (Thousand Barrels per Day),191,MBBL/D
3318,2009-03-01,USA-TN,Tennessee Field Production of Crude Oil (Thousand Barrels per Day),1,MBBL/D
3319,2009-03-01,NA,Alaska South Field Production of Crude Oil (Thousand Barrels per Day),11,MBBL/D
3333,2009-03-01,NA,Federal Offshore PADD 5 Field Production of Crude Oil (Thousand Barrels per Day),40,MBBL/D
3339,2009-03-01,PADD 2,Midwest (PADD 2) Field Production of Crude Oil (Thousand Barrels per Day),566,MBBL/D
3358,2009-03-01,USA-ND,North Dakota Field Production of Crude Oil (Thousand Barrels per Day),195,MBBL/D
3373,2009-02-01,USA-OK,Oklahoma Field Production of Crude Oil (Thousand Barrels per Day),194,MBBL/D
3381,2009-02-01,NEW YORK,New York Field Production of Crude Oil (Thousand Barrels per Day),1,MBBL/D
3385,2009-02-01,USA-IL,Illinois Field Production of Crude Oil (Thousand Barrels per Day),25,MBBL/D
