,Date,Total Approve,Total Disapprove,Total_Approve,Total_Disapprove,Relative_Approval,Neutral
386,2015-07-14,47%,52%,47,52,-5,1
387,2015-07-13,48%,51%,48,51,-3,1
388,2015-07-10,47%,52%,47,52,-5,1
389,2015-07-09,48%,51%,48,51,-3,1
390,2015-07-08,48%,51%,48,51,-3,1
391,2015-07-07,48%,51%,48,51,-3,1
392,2015-07-06,48%,52%,48,52,-4,0
393,2015-07-03,48%,51%,48,51,-3,1
394,2015-07-02,48%,51%,48,51,-3,1
395,2015-07-01,49%,50%,49,50,-1,1
396,2015-06-30,48%,50%,48,50,-2,2
397,2015-06-29,48%,51%,48,51,-3,1
398,2015-06-26,45%,53%,45,53,-8,2
399,2015-06-25,44%,54%,44,54,-10,2
400,2015-06-24,45%,53%,45,53,-8,2
401,2015-06-23,46%,52%,46,52,-6,2
402,2015-06-22,47%,52%,47,52,-5,1
403,2015-06-19,45%,54%,45,54,-9,1
404,2015-06-18,45%,54%,45,54,-9,1
405,2015-06-17,46%,53%,46,53,-7,1
406,2015-06-16,47%,52%,47,52,-5,1
407,2015-06-15,46%,52%,46,52,-6,2
408,2015-06-12,45%,53%,45,53,-8,2
409,2015-06-11,47%,52%,47,52,-5,1
410,2015-06-10,48%,50%,48,50,-2,2
411,2015-06-09,49%,49%,49,49,0,2
412,2015-06-08,48%,50%,48,50,-2,2
413,2015-06-05,47%,51%,47,51,-4,2
414,2015-06-04,47%,51%,47,51,-4,2
415,2015-06-03,47%,52%,47,52,-5,1
416,2015-06-02,46%,52%,46,52,-6,2
417,2015-06-01,48%,51%,48,51,-3,1
418,2015-05-29,47%,51%,47,51,-4,2
419,2015-05-28,47%,52%,47,52,-5,1
420,2015-05-27,46%,53%,46,53,-7,1
421,2015-05-26,46%,53%,46,53,-7,1
422,2015-05-25,46%,52%,46,52,-6,2
423,2015-05-22,46%,53%,46,53,-7,1
424,2015-05-21,46%,53%,46,53,-7,1
425,2015-05-20,46%,53%,46,53,-7,1
426,2015-05-19,47%,51%,47,51,-4,2
427,2015-05-18,46%,53%,46,53,-7,1
428,2015-05-15,47%,52%,47,52,-5,1
429,2015-05-14,46%,53%,46,53,-7,1
430,2015-05-13,48%,51%,48,51,-3,1
431,2015-05-12,47%,52%,47,52,-5,1
432,2015-05-11,47%,52%,47,52,-5,1
433,2015-05-08,45%,53%,45,53,-8,2
434,2015-05-07,47%,51%,47,51,-4,2
435,2015-05-06,49%,50%,49,50,-1,1
436,2015-05-05,48%,51%,48,51,-3,1
437,2015-05-04,47%,51%,47,51,-4,2
438,2015-05-01,48%,51%,48,51,-3,1
439,2015-04-30,48%,50%,48,50,-2,2
440,2015-04-29,46%,52%,46,52,-6,2
441,2015-04-28,46%,53%,46,53,-7,1
442,2015-04-27,44%,55%,44,55,-11,1
443,2015-04-24,46%,53%,46,53,-7,1
444,2015-04-23,45%,53%,45,53,-8,2
445,2015-04-22,47%,52%,47,52,-5,1
446,2015-04-21,46%,53%,46,53,-7,1
447,2015-04-20,46%,52%,46,52,-6,2
448,2015-04-17,46%,53%,46,53,-7,1
449,2015-04-16,47%,51%,47,51,-4,2
450,2015-04-15,48%,50%,48,50,-2,2
451,2015-04-14,49%,49%,49,49,0,2
452,2015-04-13,48%,50%,48,50,-2,2
453,2015-04-10,47%,52%,47,52,-5,1
454,2015-04-09,47%,51%,47,51,-4,2
455,2015-04-08,47%,51%,47,51,-4,2
456,2015-04-07,47%,51%,47,51,-4,2
457,2015-04-06,47%,51%,47,51,-4,2
458,2015-04-03,47%,52%,47,52,-5,1
459,2015-04-02,47%,51%,47,51,-4,2
460,2015-04-01,48%,50%,48,50,-2,2
461,2015-03-31,48%,50%,48,50,-2,2
462,2015-03-30,48%,51%,48,51,-3,1
463,2015-03-27,47%,52%,47,52,-5,1
464,2015-03-26,46%,54%,46,54,-8,0
465,2015-03-25,48%,51%,48,51,-3,1
466,2015-03-24,47%,52%,47,52,-5,1
467,2015-03-23,48%,50%,48,50,-2,2
468,2015-03-20,46%,53%,46,53,-7,1
469,2015-03-19,47%,52%,47,52,-5,1
470,2015-03-18,47%,52%,47,52,-5,1
471,2015-03-17,48%,50%,48,50,-2,2
472,2015-03-16,48%,51%,48,51,-3,1
473,2015-03-13,49%,50%,49,50,-1,1
474,2015-03-12,49%,50%,49,50,-1,1
475,2015-03-11,50%,48%,50,48,2,2
